Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2021,"Adam Ottavino","BOS",62,276,10.30645161,5.08064516,2.02857143,0.72580645,0.25724638,0.12681159,0.13043479,0.23913043,1.4516129,0.3164557,0.73333333,3.959722985883789,4.704237355243775,1247
2021,"Matt Moore","PHI",73,334,7.76712329,4.68493151,1.65789474,1.84931507,0.18862275,0.11377246,0.07485029,0.27368421,1.5890411,0.29166667,0.65979381,5.7584415058837894,5.262548955009408,1890
2021,"Zack Greinke","HOU",171,697,6.31578947,1.89473684,3.33333333,1.57894737,0.17216643,0.05164993,0.1205165,0.25153374,1.16959064,0.2632613,0.75,4.713260055883789,4.207319391122338,1943
2021,"Clayton Kershaw","LAD",121.2,488,10.65205479,1.55342466,6.85714286,1.10958904,0.29508197,0.04303279,0.25204918,0.22391304,1.01917808,0.28852459,0.71698113,2.9967976658837894,2.8732893645028024,2036
2021,"Adam Wainwright","STL",206.1,828,7.58966074,2.180937,3.48,0.91599354,0.21014493,0.06038647,0.14975846,0.21960784,1.05654281,0.25609756,0.78441296,3.6637461258837893,3.871348283731665,2233
2021,"Corey Kluber","NYY",80,341,9.225,3.7125,2.48484848,0.9,0.24046921,0.09677419,0.14369502,0.24749164,1.3375,0.30985915,0.74404762,3.844400405883789,4.375009719654917,2429
2021,"Lance Lynn","CHW",157,641,10.08917197,2.57961783,3.91111111,1.03184713,0.27457098,0.07020281,0.20436817,0.20918367,1.07006369,0.2625,0.81491713,3.315897225883789,3.8146638456043926,2520
2021,"Jhoulys Chacin","COL",64.1,269,6.57512953,3.91709845,1.67857143,1.11917098,0.17472119,0.10408922,0.07063197,0.22175732,1.25906736,0.24193548,0.70200573,4.630540305883789,4.686980801343488,2608
2021,"Ross Detwiler","2 Tms",52.1,229,10.66242038,3.43949045,3.1,1.71974522,0.27074236,0.08733624,0.18340612,0.22222222,1.22292994,0.26356589,0.75862069,4.889145625883789,4.32685074840161,2859
2021,"Kenley Jansen","LAD",69,278,11.2173913,4.69565217,2.38888889,0.52173913,0.30935252,0.1294964,0.17985612,0.15254237,1.04347826,0.21333333,0.7748538,3.082443885883789,4.0421201407909395,3096
2021,"Tony Watson","2 Tms",57.1,225,6.90697674,2.8255814,2.44444444,0.62790698,0.19555556,0.08,0.11555556,0.19323671,1.01162791,0.22641509,0.61068702,3.483353895883789,4.299786310760659,3132
2021,"Max Scherzer","2 Tms",179.1,693,11.84386617,1.80669145,6.55555556,1.15427509,0.34054834,0.05194805,0.28860029,0.18478261,0.86431227,0.24742268,0.84337349,2.9742331158837896,3.235371251045447,3137
2021,"David Price","LAD",73.2,326,7.08597285,3.17647059,2.23076923,0.97737557,0.17791411,0.0797546,0.09815951,0.27241379,1.42533937,0.30869565,0.75664622,4.228223935883789,4.493079001002162,3184
2021,"Ervin Santana","KCR",65.1,277,7.16326531,3.03061225,2.36363636,1.23979592,0.18772563,0.07942238,0.10830325,0.25896414,1.33163265,0.29166667,0.70680628,4.47042081588379,4.894160136425181,3200
2021,"Danny Duffy","KCR",61,252,9.59016393,3.24590164,2.95454545,0.8852459,0.25793651,0.08730159,0.17063492,0.22608696,1.21311475,0.28930818,0.83841463,3.3989086058837894,4.23176627442485,3542
2021,"Liam Hendriks","CHW",71,267,14.32394366,0.88732394,16.14285714,1.3943662,0.42322097,0.02621723,0.39700374,0.1744186,0.73239437,0.25185185,0.79787234,2.3384144858837894,2.1384753070247005,3548
2021,"Yusmeiro Petit","OAK",78,313,4.26923077,1.38461538,3.08333333,1.38461538,0.11821086,0.03833866,0.0798722,0.23310811,1.03846154,0.22709163,0.7208589,4.720682455883789,5.276862283624135,4020
2021,"Jake Arrieta","2 Tms",98.2,469,7.57094595,4.01351351,1.88636364,2.18918919,0.17697228,0.09381663,0.08315565,0.3195122,1.77364865,0.34294872,0.61058345,6.16940040588379,4.8491733723121,4153
2021,"Mark Melancon","SDP",64.2,265,8.21134021,3.47938144,2.36,0.55670103,0.22264151,0.09433962,0.12830189,0.2278481,1.22164948,0.28409091,0.79301075,3.3549674158837894,3.451255191924865,4264
2021,"Charlie Morton","ATL",185.2,756,10.47037702,2.81149013,3.72413793,0.77558348,0.28571429,0.07671958,0.20899471,0.20328849,1.0448833,0.26726058,0.71049841,3.1747864058837894,3.308932387890528,4676
2021,"Matt Shoemaker","MIN",60.1,284,5.96685083,4.02762431,1.48148148,2.23756906,0.14084507,0.09507042,0.04577465,0.29674797,1.65745856,0.29145729,0.57317073,6.567190465883789,5.440779554113194,4776
2021,"Rich Hill","2 Tms",158.2,661,8.50840336,3.1197479,2.72727273,1.19117647,0.2269289,0.08320726,0.14372164,0.23539519,1.21008403,0.27684964,0.77267637,4.34166931588379,4.700602846012119,4806
2021,"Jon Lester","2 Tms",141.1,627,5.79481132,3.50235849,1.65454545,1.59198113,0.14513557,0.0877193,0.05741627,0.28494624,1.51415094,0.29580574,0.73076923,5.41232493588379,5.085310418949015,4930
2021,"Jake Diekman","OAK",60.2,262,12.31318681,5.04395604,2.44117647,1.48351648,0.31679389,0.12977099,0.1870229,0.21076233,1.33516484,0.28244275,0.78873239,4.45511469588379,4.0863950009353065,5003
2021,"Jeurys Familia","NYM",59.1,262,10.92134832,4.09550562,2.66666667,1.51685393,0.27480916,0.10305344,0.17175572,0.24782609,1.41573034,0.31125828,0.76388889,4.399737485883789,3.487451584872691,5114
2021,"Jose Alvarez","SFG",64.2,266,5.84536082,2.6443299,2.21052632,0.27835052,0.15789474,0.07142857,0.08646617,0.21721311,1.11340206,0.25123153,0.70809249,3.153936485883789,4.36170123075086,5358
2021,"Michael Pineda","MIN",109.1,458,7.24390244,1.72865854,4.19047619,1.39939024,0.19213974,0.04585153,0.14628821,0.26511628,1.2347561,0.29393939,0.77738516,4.212083335883789,4.288707289170163,5372
2021,"Madison Bumgarner","ARI",146.1,613,7.62642369,2.39863326,3.17948718,1.476082,0.20228385,0.06362153,0.13866232,0.24231465,1.18223235,0.26506024,0.67819149,4.631814985883789,4.850947072346026,5524
2021,"Junior Guerra","LAA",65.1,307,8.40306122,6.33673469,1.32608696,0.82653061,0.19869707,0.14983713,0.04885994,0.26171875,1.72959184,0.31937173,0.6598513,4.745931015883789,5.28048714434437,5702
2021,"Jake Odorizzi","HOU",104.2,441,7.82484076,2.92356688,2.67647059,1.37579618,0.20634921,0.07709751,0.1292517,0.24310777,1.25159236,0.27272727,0.7437276,4.478317605883789,4.8174235994503585,6397
2021,"Trevor May","NYM",62.2,266,11.92021277,3.44680851,3.45833333,1.43617021,0.31203008,0.09022556,0.22180452,0.22727273,1.2606383,0.30201342,0.76923077,3.743868495883789,3.809256460911622,6398
2021,"Jose Cisnero","DET",61.2,265,9.04864865,4.52432432,2,0.87567568,0.23396226,0.11698113,0.11698113,0.22566372,1.32972973,0.27777778,0.67010309,4.1261571658837894,4.434984446308958,6399
2021,"Steve Cishek","LAA",68.1,308,8.42926829,5.4,1.56097561,0.26341463,0.20779221,0.13311688,0.07467533,0.23828125,1.49268293,0.3025641,0.72243346,3.7401321158837892,5.038016644284057,6483
2021,"Alex Cobb","LAA",93.1,393,9.45,3.18214286,2.96969697,0.48214286,0.24936387,0.08396947,0.1653944,0.24011299,1.26428571,0.31496063,0.65789474,2.9229718358837893,3.3797326069932514,6562
2021,"Carlos Carrasco","NYM",53.2,237,8.38509317,3.01863354,2.77777778,2.01242236,0.21097046,0.07594937,0.13502109,0.2718894,1.43478261,0.29936306,0.63122924,5.219089845883788,4.317804233815851,6632
2021,"Craig Kimbrel","2 Tms",59.2,235,15.08379888,3.46927374,4.34782609,0.90502793,0.42553191,0.09787234,0.32765957,0.15048544,0.90502793,0.24271845,0.781893,2.431970235883789,2.6624342778824746,6655
2021,"Alex Colome","MIN",65,290,8.03076923,3.18461538,2.52173913,1.10769231,0.2,0.07931034,0.12068966,0.26356589,1.4,0.30456853,0.64439141,4.23093886588379,4.2053646720372715,6661
2021,"Johnny Cueto","SFG",114.2,490,7.69186046,2.35465116,3.26666667,1.17732558,0.2,0.06122449,0.13877551,0.28539326,1.36918605,0.32653061,0.74285714,4.0502143558837895,4.273080687903185,6893
2021,"Martin Perez","BOS",114,509,7.65789474,2.84210526,2.69444444,1.5,0.19056974,0.07072692,0.11984282,0.2962963,1.50877193,0.3362069,0.71243523,4.818523215883789,4.478209528902121,6902
2021,"Ian Kennedy","2 Tms",56.1,228,9.90532544,2.71597633,3.64705882,1.91715976,0.27192982,0.0745614,0.19736842,0.21634615,1.10059172,0.24444444,0.91101695,4.74928206588379,4.454447286197983,6986
2021,"Ryan Pressly","HOU",64,250,11.390625,1.828125,6.23076923,0.5625,0.324,0.052,0.272,0.20762712,0.96875,0.29605263,0.76241135,2.0600254058837892,2.4330103530548515,7005
2021,"Daniel Bard","COL",65.2,304,10.964467,4.93401015,2.22222222,1.0964467,0.26315789,0.11842105,0.14473684,0.26538462,1.59898477,0.35260116,0.70436508,4.281075535883789,4.2020216019101415,7115
2021,"Daniel Hudson","2 Tms",51.2,210,13.06451613,2.78709677,4.6875,1.39354839,0.35714286,0.07619048,0.28095238,0.21052632,1.08387097,0.28828829,0.75892857,3.2081100858837894,3.244237103765028,7146
2021,"Greg Holland","KCR",55.2,243,8.56886227,4.20359281,2.03846154,1.45508982,0.218107,0.10699588,0.11111112,0.22897196,1.34730539,0.25974026,0.69400631,4.822095015883789,4.653789725007755,7196
2021,"Craig Stammen","SDP",88.1,355,8.45660377,1.3245283,6.38461538,1.3245283,0.23380282,0.03661972,0.1971831,0.23511905,1.04150943,0.27160494,0.83333333,3.746758895883789,3.3116882627918747,7274
2021,"J.A. Happ","2 Tms",152.1,671,7.20787746,2.83588621,2.54166667,1.77242888,0.18181818,0.07153502,0.11028316,0.28780488,1.47702407,0.31410256,0.68817204,5.13220128588379,5.108653932904435,7410
2021,"Collin McHugh","TBR",64,247,10.40625,1.6875,6.16666667,0.421875,0.29959514,0.048583,0.25101214,0.20689655,0.9375,0.28846154,0.81314879,2.1225254058837892,3.0570377789437773,7531
2021,"Jake McGee","SFG",59.2,239,8.74860335,1.50837989,5.8,1.05586592,0.24267782,0.041841,0.20083682,0.19642857,0.90502793,0.22839506,0.67099567,3.3537579458837894,4.046493200334373,7550
2021,"Jordan Lyles","TEX",180,769,7.3,2.8,2.60714286,1.9,0.18985696,0.07282185,0.11703511,0.27833572,1.38888889,0.29885057,0.75073602,5.341622625883789,4.7341143571668205,7593
2021,"Wily Peralta","DET",93.2,402,5.57295374,3.65124555,1.52631579,1.15302491,0.14427861,0.09452736,0.04975125,0.24715909,1.33451957,0.25862069,0.78431373,4.94164239588379,4.99037143925214,7738
2021,"Richard Bleier","MIA",58,225,6.82758621,0.93103448,7.33333333,0.62068966,0.19555556,0.02666667,0.16888889,0.24056604,0.98275862,0.2797619,0.73529412,3.014227995883789,2.8782119197064433,7803
2021,"Hunter Strickland","3 Tms",58.2,242,8.89772727,3.375,2.63636364,1.22727273,0.23966942,0.09090909,0.14876033,0.21296296,1.15909091,0.25,0.83333333,4.19212767588379,4.705155737601666,7836
2021,"Anthony Bass","MIA",61.1,260,8.51086957,3.52173913,2.41666667,1.61413043,0.22307692,0.09230769,0.13076923,0.24122807,1.28804348,0.26829268,0.73573574,4.930269975883789,4.324833493839739,7982
2021,"Will Smith","ATL",68,283,11.51470588,3.70588235,3.10714286,1.45588235,0.30742049,0.09893993,0.20848056,0.19758065,1.13235294,0.25,0.82582583,4.169400405883789,4.064431123961421,8048
2021,"Bryan Shaw","CLE",77.1,334,8.26293103,4.42241379,1.86842105,1.1637931,0.21257485,0.11377246,0.09880239,0.23469388,1.38362069,0.27570093,0.79787234,4.5271590258837895,4.397617273445289,8110
2021,"Brett Anderson","MIL",96,409,5.4375,2.625,2.07142857,1.03125,0.14180929,0.06845966,0.07334963,0.27642276,1.35416667,0.29354839,0.68610635,4.38815040588379,4.093241825513543,8223
2021,"Paolo Espino","WSN",109.2,455,7.55015198,2.05167173,3.68,1.55927052,0.2021978,0.05494505,0.14725275,0.25592417,1.21276596,0.27987421,0.75418994,4.45511469588379,4.455315114260491,8246
2021,"Lucas Luetge","NYY",72.1,301,9.70506912,1.86635945,5.2,0.74654378,0.25913621,0.04983389,0.20930232,0.23843416,1.13364055,0.30653266,0.71801567,2.837603165883789,3.661933100026498,8337
2021,"Deolis Guerra","OAK",65.2,269,8.49746193,2.74111675,3.1,1.0964467,0.23048327,0.07434944,0.15613383,0.218107,1.11167513,0.25714286,0.65349544,3.961278575883789,4.795793970565244,8410
